姓名,科目1,科目2,科目3,科目4,科目5,科目6,科目7
張俊傑,58,75,41,43,68,65,98
張莉雯,68,100,60,92,61,68,97
蔡欣汝,60,57,50,90,96,46,64
黃善迪,79,49,42,90,79,60,48
蕭怡伶,44,66,58,94,75,88,63
陳家年,95,83,96,72,72,59,50
劉昀天,91,46,76,94,70,82,96
林佳蓉,69,91,62,86,61,89,73
葉祖雄,58,41,61,99,46,90,90
張牧聿,84,47,90,53,53,93,42
黃佩芬,83,83,72,53,79,100,48
鄧哲榮,94,70,91,61,99,54,96
陳凱翔,94,94,52,64,88,96,61
黃詩妃,99,79,89,95,67,51,56
陳俊憲,55,64,47,85,65,83,83
吳志宣,91,51,53,100,59,65,82
朱惠儀,81,56,82,41,64,82,57
楊偉翔,46,93,64,68,40,67,42
鄭孟芳,77,84,56,81,77,42,89
方筠紹,100,79,58,63,40,60,76
陳樂紫,89,77,100,97,86,65,48
吳欣書,55,71,95,55,86,95,61
黎惠雯,75,98,82,52,40,87,85
羅幸娥,61,80,99,81,60,48,68
余月修,66,48,54,88,68,73,91
陳冠霞,98,92,52,92,85,73,83
元延辛,96,96,93,47,74,86,68
林佳慧,86,66,80,88,87,89,86
蔡欣汝,40,49,40,60,92,79,63
馮耀中,53,69,71,93,70,82,79
郭舜昇,69,72,78,77,47,65,93
劉嘉泰,43,82,81,54,100,95,78
崔孝憲,63,63,93,53,56,96,85
陳淑萍,67,51,43,54,99,67,80
陳冠霞,45,88,69,40,49,40,97
林益妏,98,83,55,88,44,55,71
陳樂紫,73,86,50,43,62,64,46
楊綺芬,90,77,42,85,74,92,69
周家銘,86,53,55,90,95,96,75
陳彥治,90,78,48,98,52,74,100
高信宏,90,97,74,98,94,73,86
呂傑宣,44,76,56,93,93,70,80
李立偉,84,40,51,48,97,86,50
許淑婷,78,50,47,56,92,94,63
林志成,80,63,71,48,51,78,57
黃志福,51,43,93,64,94,56,74
黃靜怡,50,45,92,90,58,45,67
林麗萍,95,71,83,51,58,51,75
翁鈺婷,56,44,97,53,86,54,47
吳晴洋,44,73,76,67,41,47,81
