姓名,國文,英文,數學,地理,歷史
楊韋廷,81,59,99,74,94
張牧聿,69,50,52,52,86
簡國瑋,60,55,91,62,46
潘俊賢,68,83,54,64,70
崔孝憲,88,75,51,58,91
楊易政,55,56,84,62,82
鄧亭聿,100,74,47,76,51
陳信念,97,47,88,64,53
楊易政,72,58,94,100,79
楊偉翔,45,85,84,53,58
吳昕婷,66,86,81,85,62
黃淑芬,56,51,78,45,66
許淑婷,52,79,55,50,89
蕭淑華,90,46,62,87,61
郎慧萍,71,57,80,50,50
吳俐芷,51,78,95,71,50
蔡士賢,78,100,79,56,91
王梅劭,45,46,76,64,73
陳倩妮,89,62,90,57,50
王品星,91,100,91,47,97
龔姵君,57,53,47,57,74
郭坤花,46,55,82,52,97
楊綺芬,54,78,68,67,94
張婕妤,71,97,84,92,70
白美珍,52,100,61,51,78
黃名明,66,51,95,95,56
陳倩潔,63,57,90,52,50
楊綺芬,52,60,52,98,86
梁柏宇,60,45,56,68,77
陳建豪,84,66,94,61,79
